battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
894,0,0.7,0,2,1,58,0.1,123,2,3,158,747,3305,12,7,2,1,0,0,2
548,0,1.0,1,0,1,56,0.4,146,4,14,657,1657,562,17,14,8,1,1,1,0
1177,0,0.9,0,1,0,11,1.0,181,4,7,945,1923,1887,8,5,11,1,1,1,1
984,1,2.2,1,0,1,39,0.5,119,8,18,56,1931,2013,11,7,16,1,1,0,1
1344,0,1.5,0,1,0,14,0.5,190,1,3,419,556,2074,8,1,5,1,1,0,1
803,0,0.8,1,0,0,18,0.3,106,4,1,627,935,2801,18,15,12,0,1,0,2
805,1,1.7,1,0,1,58,0.9,168,3,10,81,1544,3397,7,6,2,1,0,0,2
1229,0,0.5,1,15,0,14,0.8,191,2,16,120,1878,1667,17,6,17,0,0,1,1
506,0,1.6,0,6,1,41,0.8,159,1,7,875,1025,2965,13,10,15,1,0,0,2
1367,0,2.9,0,4,0,56,0.8,176,2,6,36,642,299,6,2,10,0,1,0,0
1187,1,2.2,0,0,1,46,0.4,145,2,9,1173,1814,3917,13,11,8,1,0,1,3
1122,0,0.5,0,0,1,40,0.3,156,7,14,675,1163,1456,9,3,20,1,1,0,1
1254,1,1.2,0,2,1,27,0.2,134,2,10,1288,1372,817,14,1,16,1,1,1,0
1715,0,1.0,1,4,1,31,0.5,83,8,17,638,1615,625,17,6,13,1,0,0,0
852,0,1.8,1,5,1,8,0.8,160,5,9,683,1349,315,7,6,20,1,0,0,0
1322,0,2.3,1,1,1,35,0.1,157,1,3,443,708,3684,15,8,6,1,0,0,3
1722,1,1.0,0,7,0,25,0.8,88,6,19,1179,1638,2376,5,1,19,0,0,1,3
1545,0,1.3,1,15,1,35,0.1,173,5,20,115,1352,3197,14,9,6,1,0,1,3
1800,1,0.7,0,2,1,8,0.4,100,7,6,400,823,3481,10,8,8,1,0,1,3
867,1,1.5,0,0,1,57,0.1,159,4,0,289,724,2157,8,6,18,1,0,0,1
946,1,2.6,1,17,0,5,0.1,166,3,20,1698,1771,3720,15,7,4,0,1,0,3
663,0,0.8,1,0,0,25,0.6,183,2,1,82,1605,3176,6,2,2,1,0,1,2
1067,1,2.4,1,3,1,40,0.6,122,8,15,494,1989,604,16,14,11,1,0,0,0
1007,1,2.9,1,5,1,21,0.8,185,8,12,479,831,1301,8,6,12,1,1,0,0
586,0,2.8,0,2,0,15,0.2,83,3,11,241,854,2592,12,8,3,0,0,0,1
1530,0,2.0,0,11,0,42,0.8,177,6,13,454,1975,725,11,10,19,0,0,1,0
1944,0,0.6,1,9,1,59,0.2,132,7,10,634,1079,769,19,13,3,1,0,1,0
878,1,1.3,0,13,1,31,0.5,153,4,18,575,618,3497,9,7,11,1,1,0,2
1163,1,1.9,0,6,0,2,0.9,133,5,20,919,1076,1568,14,0,19,1,0,0,1
1940,1,1.0,1,0,1,5,0.2,194,4,1,588,1809,820,19,18,3,1,1,1,1
1361,1,1.4,0,1,0,47,1.0,169,5,2,881,1382,2495,8,7,16,0,0,1,2
1412,1,2.4,0,5,0,25,0.8,96,8,17,516,1894,837,15,9,4,0,0,1,1
618,0,2.1,0,2,0,6,0.3,86,1,4,1314,1688,1051,13,10,15,0,0,1,0
1723,1,1.1,1,1,0,42,1.0,164,8,14,202,1791,3587,10,5,3,1,0,0,3
626,1,2.8,1,3,1,11,0.8,109,2,9,737,1759,1077,6,1,4,1,0,1,0
723,0,0.5,0,0,1,3,0.2,168,4,3,920,1748,1851,15,3,16,1,0,0,1
854,0,0.5,0,2,0,30,0.5,125,8,5,518,1152,2889,5,2,11,0,0,1,2
1654,1,1.5,1,0,1,43,0.3,109,2,0,546,629,3112,12,5,10,1,1,0,3
612,1,0.7,0,6,0,35,0.6,181,5,12,1294,1337,3169,14,9,6,0,0,0,2
1083,1,2.9,1,1,1,64,0.8,178,3,11,1025,1118,3210,13,3,4,1,0,0,3
1619,1,0.9,0,3,0,20,0.9,117,6,9,813,1180,464,7,5,16,1,0,1,0
1786,0,1.2,0,11,0,61,0.1,123,3,14,74,865,3033,14,11,17,0,1,0,3
712,0,0.5,0,6,0,27,0.5,86,2,11,1245,1309,2001,11,10,12,1,1,1,1
569,1,0.5,1,10,1,4,0.8,170,3,19,351,1159,2351,8,7,10,1,1,0,1
1583,1,2.1,1,11,0,14,0.7,148,7,16,942,1651,1704,17,13,2,1,0,1,2
1866,1,2.5,1,3,1,47,0.8,89,5,9,358,1782,1444,7,4,20,1,0,0,1
1536,0,0.8,0,12,0,13,0.3,105,7,20,22,1634,2020,6,0,16,1,1,0,2
1900,1,0.5,1,0,1,55,0.9,171,1,1,934,1241,3917,15,5,18,1,0,1,3
772,0,1.0,1,0,1,23,0.6,97,7,11,317,1805,2782,7,0,17,1,0,0,2
1592,0,2.1,0,6,1,50,0.1,181,2,17,510,522,2103,19,8,7,1,0,0,1
1547,0,2.9,1,6,0,45,0.7,166,2,8,583,590,505,12,2,3,0,1,1,0
1830,0,0.5,0,0,0,7,0.9,191,6,12,460,1583,2334,8,7,14,0,1,0,2
1087,0,1.3,0,0,1,16,0.3,166,3,9,295,589,690,14,6,6,1,0,1,0
1171,1,1.7,1,2,0,19,0.3,167,7,19,248,755,263,6,5,8,0,0,0,0
1166,1,0.5,0,7,0,59,0.5,80,1,11,437,638,3887,8,6,7,1,0,1,3
1583,0,1.2,1,0,0,14,0.2,148,2,4,1171,1673,2498,13,6,8,0,0,1,2
1413,0,0.6,0,0,1,13,0.1,128,1,0,1323,1481,515,5,0,18,1,1,0,0
1414,0,2.6,0,1,0,27,0.6,137,4,20,804,1564,312,5,2,8,0,0,1,0
1018,0,2.2,0,8,0,16,0.6,153,8,10,992,1433,3143,17,12,20,0,1,0,3
1062,0,0.5,0,3,1,39,0.9,124,4,4,571,817,1345,16,0,11,1,0,1,0
1420,0,2.8,1,1,0,50,0.1,100,8,8,194,1393,763,17,1,17,0,1,1,0
1799,1,0.5,0,0,0,49,0.4,107,4,2,632,1383,720,12,2,11,1,1,1,0
1527,0,2.7,0,10,1,60,0.1,154,5,14,526,1116,2078,5,3,11,1,1,1,2
1872,1,2.3,0,6,0,44,0.7,134,3,15,459,1259,1955,9,4,15,1,0,1,2
1510,0,0.6,1,1,0,32,0.7,135,3,8,963,1520,854,8,2,10,1,0,1,1
1883,0,1.6,0,9,0,24,0.1,87,1,16,203,915,3563,17,10,3,0,0,0,3
993,1,2.3,1,0,0,16,0.4,106,7,13,424,1639,1113,14,1,6,0,0,1,0
1068,0,1.3,0,6,1,52,0.1,97,8,7,994,1500,1436,16,1,15,1,0,0,1
1992,1,0.6,1,11,0,2,0.1,141,1,14,649,895,3206,10,9,10,1,1,0,3
622,0,0.7,0,0,1,9,0.3,127,2,0,98,511,3916,13,1,5,1,0,1,2
1623,1,1.2,0,6,1,61,0.9,120,7,12,1568,1832,1510,12,10,17,1,1,0,2
1883,1,0.5,0,3,1,10,0.3,146,6,13,836,1739,2600,16,8,20,1,0,0,3
1807,1,2.9,0,0,0,16,0.2,125,3,0,1221,1415,2921,8,5,17,0,1,0,3
1539,1,2.6,0,0,0,41,0.1,159,8,0,1112,1666,2107,15,9,10,1,0,1,2
1332,0,1.3,1,5,1,7,0.8,168,7,19,846,855,2790,19,11,10,1,1,0,2
737,1,2.4,1,7,0,49,0.6,193,4,16,781,1463,2951,7,0,10,0,1,0,2
823,1,0.5,0,0,0,39,0.4,187,8,4,630,888,294,13,9,11,0,0,1,0
1692,1,2.1,0,3,1,61,0.9,176,6,12,975,1996,1354,16,7,19,1,0,0,1
1309,0,1.1,1,0,0,33,0.5,100,4,14,557,1402,2334,10,1,11,1,0,1,2
1997,1,1.8,1,1,0,40,0.5,185,4,8,866,1212,1655,7,6,15,1,0,0,2
1336,0,0.9,0,5,1,17,0.2,194,5,9,55,583,1869,13,1,16,1,1,1,1
649,1,1.4,0,4,1,19,0.8,190,7,12,344,1551,739,18,1,2,1,1,0,0
984,1,0.5,0,13,1,42,0.8,98,7,17,1036,1611,898,16,8,13,1,1,0,0
1150,1,2.7,0,0,0,39,0.4,151,8,1,397,800,999,6,2,11,1,1,0,0
580,1,2.1,1,0,0,24,0.4,135,4,5,404,898,3565,12,11,8,1,0,1,2
1362,1,2.9,0,0,0,47,0.5,186,6,4,600,1042,3629,19,17,5,0,1,1,3
1792,1,1.0,0,3,1,62,0.3,170,7,8,1626,1913,2563,18,14,15,1,0,1,3
1547,1,3.0,1,2,1,14,0.7,198,3,19,1042,1832,2059,5,0,15,1,0,1,2
1197,1,0.5,1,9,0,20,0.1,129,5,10,214,1710,2885,19,7,14,1,1,1,2
1003,1,2.9,0,16,1,16,0.6,119,8,19,190,1905,1798,16,7,10,1,0,0,1
1159,0,1.5,0,3,0,36,0.4,104,4,8,717,1206,2115,8,7,18,0,0,0,2
1421,0,2.8,0,0,1,57,0.4,165,1,2,781,1657,2775,13,8,14,1,0,1,3
1596,0,2.9,1,7,0,7,0.7,149,2,9,169,1190,2493,14,12,13,1,1,1,2
580,1,1.2,1,0,0,47,0.9,91,3,1,1086,1345,3451,15,1,11,1,1,0,3
942,0,1.4,1,8,0,27,0.5,91,4,9,754,1532,587,6,3,13,0,1,1,0
1552,1,2.2,0,6,1,13,0.2,123,6,9,269,1026,2403,9,2,9,1,1,1,2
903,0,1.0,1,0,1,50,0.4,91,1,0,1230,1235,711,9,5,10,1,1,0,0
1986,0,0.5,1,3,1,51,0.1,165,8,20,282,1358,1614,17,12,3,1,1,1,1
1497,1,0.9,1,4,1,10,0.1,153,8,20,98,977,3696,9,0,3,1,0,1,3
1766,1,0.5,1,1,0,16,0.6,141,5,7,125,1227,3314,9,7,17,0,0,1,3
1670,1,3.0,0,14,0,62,0.5,114,8,20,1117,1330,3024,6,0,20,0,0,1,3
1043,1,0.5,0,7,0,42,0.1,111,3,8,716,1626,912,16,9,6,0,1,0,0
765,1,2.5,0,3,0,44,0.3,88,8,11,1364,1851,2256,6,1,19,0,1,1,2
725,0,1.3,1,16,0,60,0.4,160,8,17,1134,1249,1326,10,4,15,1,0,0,1
1686,1,2.8,1,3,0,38,0.1,166,4,4,397,1453,2958,14,11,2,0,0,0,3
1337,0,0.5,0,13,0,31,0.8,186,2,20,48,644,2180,7,4,16,1,0,1,1
1175,0,0.6,0,10,0,25,0.1,145,2,12,137,1501,3153,9,4,12,1,0,0,2
752,0,0.5,1,1,0,48,0.7,87,7,13,164,728,3860,7,5,16,0,0,0,3
1707,0,1.4,0,0,0,41,0.8,80,7,2,1331,1388,1774,12,0,10,0,0,0,2
1578,0,2.9,0,8,0,3,0.9,200,1,20,342,670,3483,17,4,16,1,0,0,3
1487,0,0.5,0,6,1,57,0.7,84,3,12,140,768,2563,18,4,14,1,0,0,2
1843,0,2.8,0,1,1,62,0.8,104,3,7,21,832,3899,5,4,6,1,0,1,3
582,0,0.5,1,3,0,27,0.2,168,3,10,985,1420,2437,19,2,2,1,1,1,2
1290,1,1.4,1,19,1,35,0.3,110,4,20,405,742,879,16,2,8,1,0,0,0
776,1,1.7,0,0,1,20,1.0,146,4,9,991,1803,685,15,11,7,1,1,1,0
546,1,2.6,1,5,0,26,1.0,159,5,15,416,1658,1550,7,2,3,0,1,0,1
1472,0,3.0,0,4,1,20,0.3,169,2,6,443,892,797,6,1,11,1,1,0,0
912,1,2.0,0,1,0,54,0.3,161,8,5,329,1053,2330,19,5,20,0,1,0,1
1035,0,0.5,1,14,1,49,0.3,178,2,15,574,1171,3991,12,4,19,1,0,0,3
1128,1,1.1,0,9,1,46,0.9,135,8,10,751,1582,1434,5,0,11,1,0,0,1
1945,0,1.2,0,3,0,26,0.7,112,6,5,1064,1540,3322,18,7,20,0,0,1,3
727,1,2.5,1,0,1,64,0.2,193,1,9,664,711,3654,9,1,16,1,1,0,3
989,1,2.0,0,4,0,17,0.2,166,3,19,256,1394,3892,18,7,19,1,1,0,3
1933,0,2.8,1,1,0,16,0.5,154,3,9,229,1473,838,14,2,18,0,1,0,0
1478,1,0.8,1,12,0,48,0.7,99,5,17,694,882,1141,5,2,6,0,0,1,1
1902,0,2.8,1,6,0,50,0.8,124,8,9,1142,1393,343,11,8,18,0,1,0,0
914,1,0.5,0,0,1,26,0.7,147,4,0,706,721,1122,12,9,2,1,1,1,0
1957,0,0.9,1,11,0,31,0.6,181,3,16,396,1732,3801,12,0,7,1,0,1,3
1158,0,0.7,1,1,1,29,0.7,123,2,20,311,1796,1542,17,9,15,1,0,1,1
1219,0,1.6,1,5,0,4,0.3,169,6,7,1419,1698,1998,9,2,4,0,0,0,2
1748,0,1.7,1,6,1,14,0.5,146,3,7,859,1234,3968,16,12,3,1,0,1,3
825,1,1.5,0,11,0,38,0.4,94,3,18,540,783,716,11,4,14,0,1,0,0
718,1,1.6,1,1,1,30,0.4,93,3,12,662,997,1601,10,9,12,1,1,1,1
1724,0,2.0,1,2,1,57,0.5,177,3,5,1605,1924,2822,19,3,16,1,1,0,3
531,1,0.5,1,0,1,12,0.5,121,4,3,158,1657,2331,18,12,20,1,0,1,1
1663,1,2.5,1,13,1,27,0.3,169,4,14,831,1439,2084,7,1,18,1,0,0,2
1159,1,2.8,0,5,1,18,0.5,83,1,7,681,723,2246,8,1,3,1,1,0,1
628,1,1.8,0,5,0,60,0.2,87,6,6,1047,1534,1337,12,7,14,0,1,0,1
1575,0,2.5,1,0,1,11,0.2,185,7,20,492,818,2182,7,3,17,1,1,0,2
1567,0,2.1,1,3,0,22,0.8,153,3,19,190,1326,3991,15,2,10,1,0,0,3
1403,0,2.7,0,2,1,26,0.1,164,5,3,461,1251,3371,13,9,9,1,0,1,3
880,0,0.5,1,1,0,44,0.5,172,8,15,436,1302,3132,8,7,6,0,1,1,2
1806,1,2.0,1,2,1,54,0.1,117,1,11,347,727,3142,13,0,6,1,0,1,3
1130,0,1.8,1,0,0,27,0.9,101,1,8,1495,1579,315,14,5,11,1,1,0,0
973,1,1.5,0,5,1,57,0.2,190,7,16,457,1816,2977,6,4,2,1,0,0,2
1139,1,0.9,1,6,1,58,0.5,161,2,11,742,999,1850,9,4,8,1,0,0,1
1128,1,0.5,1,6,0,33,0.6,147,8,7,938,1226,1440,17,15,19,1,0,0,1
1604,1,1.7,0,2,0,33,1.0,191,8,5,134,939,916,13,10,12,0,1,1,0
1960,1,2.3,1,1,1,61,0.3,86,7,3,205,1299,3865,10,7,11,1,0,0,3
536,0,2.4,1,12,1,3,0.3,182,7,14,1386,1539,284,12,9,4,1,1,0,0
1414,1,2.2,1,0,1,49,0.5,101,4,1,130,887,2290,13,0,12,1,1,0,1
1991,0,2.2,1,1,1,42,0.7,82,1,13,366,613,722,6,5,10,1,1,0,0
1054,1,1.8,1,3,1,40,0.8,196,7,10,27,774,2296,16,12,12,1,0,1,1
860,1,1.3,1,1,1,49,0.7,141,6,13,692,979,3869,16,14,20,1,1,1,3
1251,0,0.5,1,10,1,29,0.7,133,6,16,308,591,1052,11,9,11,1,0,0,0
1946,0,2.7,1,8,0,8,0.3,123,8,19,647,1849,3117,6,0,2,1,0,0,3
1356,1,0.5,1,0,0,35,0.8,131,1,19,782,951,3451,5,2,17,1,1,1,3
1347,0,1.5,1,10,0,56,0.3,95,1,19,398,1528,2456,13,0,13,1,1,1,2
1882,0,2.0,0,11,1,44,0.8,113,8,19,4,743,3579,19,8,20,1,1,0,3
1349,1,2.1,1,3,0,46,0.9,134,6,12,212,623,2367,11,7,10,1,0,1,1
686,1,2.7,1,0,0,36,0.1,194,4,1,64,745,1503,10,0,13,0,0,0,0
833,1,0.6,1,0,1,27,0.3,145,4,2,649,1290,586,19,8,19,1,0,1,0
1936,1,1.9,1,13,1,34,0.2,182,7,14,591,1089,1671,6,1,9,1,0,1,1
1521,1,1.6,0,5,1,62,0.3,143,1,9,678,1630,3555,5,2,19,1,0,0,3
1122,0,2.8,0,0,0,28,0.6,184,3,4,1578,1963,1402,14,10,3,0,1,0,1
989,1,1.8,1,4,1,55,0.7,124,1,12,46,1069,1737,8,5,10,1,0,1,1
1778,0,0.5,0,0,1,23,0.5,101,6,11,1028,1445,3941,19,6,13,1,0,0,3
1944,1,0.5,0,1,1,26,0.5,92,4,9,313,712,2322,19,8,7,1,0,1,2
1327,0,2.8,0,10,0,23,0.5,89,7,16,441,1721,872,7,5,4,1,1,1,0
1986,0,2.7,1,3,1,64,0.2,162,4,20,236,1520,1377,5,3,15,1,1,1,1
1948,0,2.9,1,4,0,5,0.2,136,1,13,651,700,361,6,1,10,0,1,0,0
1202,1,2.4,1,0,0,19,0.1,122,2,1,404,1742,595,19,0,3,0,0,0,0
1486,0,2.6,0,7,0,52,0.1,85,4,15,1430,1747,297,13,1,15,0,1,0,0
848,1,2.1,1,10,1,19,0.8,148,7,18,176,1029,3359,10,0,14,1,0,0,2
823,1,2.7,1,13,0,60,0.5,148,8,19,822,1449,905,14,11,17,1,1,1,0
1113,0,0.6,1,0,0,25,0.3,145,1,10,1047,1312,277,11,2,12,1,0,1,0
697,0,2.7,1,5,1,20,0.4,173,2,6,478,1477,259,12,6,4,1,1,1,0
1721,1,0.5,1,4,1,33,0.5,128,4,5,871,1048,707,19,2,5,1,1,1,0
1129,1,0.8,1,9,1,21,0.6,116,2,10,1128,1702,1400,11,0,13,1,1,0,1
687,1,1.3,0,9,1,50,0.6,151,4,20,584,1151,3416,14,6,8,1,1,0,3
1807,1,2.1,0,2,0,49,0.8,125,1,10,337,1384,1906,17,13,13,0,1,1,2
1074,0,2.4,1,2,1,9,0.9,103,6,14,946,952,1948,13,1,18,1,1,1,1
1414,1,1.5,1,5,0,44,0.5,180,2,6,44,1118,3490,16,12,13,0,1,0,3
1976,1,2.6,1,6,0,45,1.0,136,4,19,652,1933,2470,11,1,3,0,0,0,3
1562,0,0.5,1,1,1,20,0.8,172,8,10,678,1676,3465,16,11,6,1,1,0,3
788,0,2.5,1,4,1,57,0.9,91,8,12,42,1161,3969,12,8,6,1,1,1,3
1397,0,2.9,1,13,0,9,0.5,87,6,18,1308,1991,3137,12,1,11,1,1,1,3
1777,1,3.0,0,3,0,20,0.6,188,6,5,511,616,3868,5,1,7,0,1,1,3
1253,0,0.7,0,0,1,34,0.9,113,4,10,161,647,3518,7,3,8,1,1,1,3
1423,0,0.6,0,12,0,44,0.8,131,5,13,501,640,2253,10,8,9,0,0,0,1
702,0,2.6,1,2,1,9,0.7,141,3,3,504,1570,2955,10,4,19,1,0,0,2
1634,1,1.4,0,1,1,17,0.2,200,2,5,964,1677,3031,11,6,6,1,1,1,3
586,1,0.6,0,16,1,42,0.3,121,7,17,785,1118,1869,12,2,7,1,1,1,1
1044,1,2.8,1,7,0,33,0.6,129,4,13,42,1262,1816,17,16,15,1,0,1,1
1498,1,1.2,1,0,1,14,0.1,191,4,1,111,1167,577,14,12,12,1,1,0,0
519,1,1.6,1,7,1,51,0.3,132,4,19,550,645,3763,16,1,4,1,0,1,3
1234,1,1.6,1,1,0,33,0.6,172,1,3,166,778,1449,11,7,6,0,0,1,0
576,0,1.2,0,1,0,30,0.8,162,8,5,847,893,2800,11,6,16,0,1,1,2
574,1,2.0,1,0,1,26,0.5,118,6,2,382,1364,1303,8,4,2,1,0,1,0
1722,0,2.6,0,8,0,18,0.8,177,2,16,865,1741,3271,14,0,15,1,0,1,3
1469,0,2.1,0,0,0,8,0.7,123,7,0,398,1133,1052,8,1,3,0,1,0,0
1790,1,2.3,1,3,1,49,0.5,100,3,11,396,1980,3568,6,2,18,1,0,1,3
815,0,2.0,1,4,0,51,0.3,85,6,12,982,1291,3469,5,4,6,1,0,1,3
1926,1,1.1,0,13,1,50,0.2,179,6,17,371,1000,3809,17,12,17,1,1,0,3
1670,1,1.6,1,0,0,47,0.8,139,8,15,1706,1886,876,16,0,5,1,1,0,1
1030,0,1.6,1,3,1,58,0.2,138,6,20,1111,1812,2858,6,2,18,1,1,1,3
1544,0,2.4,0,18,1,12,0.1,186,7,20,470,844,489,9,4,2,1,0,1,0
637,1,0.8,1,2,0,28,0.6,194,4,6,1080,1289,2725,15,10,7,0,0,0,2
930,0,2.1,1,0,0,54,0.9,80,1,13,1569,1763,1743,7,1,9,0,1,0,2
1673,1,1.6,0,2,0,42,0.5,182,5,6,214,679,3094,12,4,20,0,0,0,2
1884,0,2.1,1,7,1,43,0.8,185,1,18,451,819,3619,14,8,7,1,1,1,3
842,1,1.8,1,4,0,57,1.0,124,3,10,348,730,1903,8,4,14,0,1,0,1
557,1,1.6,0,0,0,24,0.5,125,3,0,1131,1315,1305,12,8,3,1,0,1,0
917,1,0.5,0,1,1,31,0.5,88,6,2,423,909,3424,19,2,13,1,1,0,3
1290,0,0.5,0,0,0,3,0.1,143,6,4,600,1109,1214,9,8,15,0,1,1,1
1874,1,0.6,0,1,0,19,0.8,192,2,9,1238,1418,1218,15,10,17,0,1,0,1
932,1,0.5,0,1,1,60,0.7,104,4,2,268,1078,1459,6,1,19,1,1,0,0
1571,0,1.4,0,0,1,19,0.1,100,6,1,713,1398,666,12,10,13,1,1,0,0
608,1,0.5,1,0,0,64,0.9,94,4,0,4,1351,2517,16,8,7,1,1,1,1
1454,0,1.4,1,8,0,37,0.8,80,8,20,903,910,1713,16,0,19,0,0,0,1
1522,0,2.2,0,4,0,21,0.7,162,6,11,533,1696,3767,15,9,16,0,0,1,3
1156,0,0.5,0,6,0,61,0.1,89,7,9,1214,1262,1796,16,6,13,0,1,1,1
1312,0,0.5,1,0,1,28,0.8,163,2,0,1233,1854,1087,17,16,14,1,0,0,1
790,0,2.0,1,16,1,11,0.3,87,6,17,347,730,3169,6,1,2,1,0,1,2
1308,0,1.9,0,0,1,61,0.7,106,3,7,59,1215,3355,15,2,4,1,0,1,3
1444,0,0.6,0,2,0,48,0.5,82,5,17,1092,1554,2540,17,2,15,1,1,1,3
1101,0,1.8,0,0,0,31,0.2,148,2,7,387,1269,2196,12,6,19,0,1,1,1
1429,0,0.6,0,8,0,42,0.9,151,5,9,670,1552,1817,6,1,16,1,0,0,1
586,0,0.5,1,1,0,57,0.3,188,2,5,1226,1389,3646,15,4,11,1,1,1,3
1280,1,1.3,0,0,1,39,1.0,108,7,1,356,588,2335,6,4,2,1,0,1,1
511,1,0.6,1,12,0,50,0.1,175,3,16,140,622,1484,9,7,8,1,0,0,0
510,0,2.6,0,0,0,33,0.1,110,6,10,1052,1897,1693,6,2,5,0,1,0,1
1949,1,0.5,1,2,1,31,0.1,145,5,9,837,1182,832,7,3,19,1,0,0,1
502,0,1.5,1,7,0,37,0.2,199,2,12,705,1810,1649,6,1,14,0,1,0,1
1224,0,0.5,0,16,1,6,0.4,109,6,18,747,826,506,10,0,11,1,1,1,0
1089,0,1.4,1,10,0,2,0.1,153,7,20,211,1409,2620,7,5,13,1,0,0,2
936,0,0.5,1,14,1,14,0.1,164,3,17,150,1677,3761,13,1,12,1,0,0,3
765,0,2.9,0,0,1,18,0.1,153,7,0,6,793,1066,11,1,16,1,1,0,0
1476,0,0.5,0,0,1,43,0.7,148,2,2,1789,1972,3644,15,10,6,1,0,1,3
1261,1,0.5,1,0,1,11,0.2,90,4,0,858,1591,348,14,9,14,1,0,1,0
1820,1,1.4,0,5,0,51,0.9,163,7,10,202,1884,2481,11,9,11,0,0,0,2
1029,1,1.9,1,5,1,5,0.2,171,5,8,264,956,582,15,7,4,1,1,1,0
1487,0,1.5,0,5,1,42,0.8,120,2,7,857,989,2003,12,4,3,1,0,0,2
1886,0,0.5,0,0,1,24,0.4,112,3,1,809,1958,1179,16,7,20,1,0,1,1
1977,0,1.3,1,2,0,31,0.4,173,8,6,1145,1356,2641,8,2,7,0,0,0,3
1117,1,0.6,1,0,0,31,0.2,146,2,7,1258,1627,2003,8,7,14,0,1,1,2
1934,1,2.6,1,0,1,46,0.1,103,1,17,619,1299,2940,13,9,2,1,1,1,3
1699,1,0.5,0,16,0,21,0.1,156,4,20,105,1099,1181,16,0,18,1,1,0,1
1811,1,2.0,0,3,1,22,0.2,82,2,8,358,614,2847,9,2,4,1,0,1,2
731,1,0.5,1,0,1,28,0.5,130,8,0,424,1032,1774,12,8,10,1,0,0,1
1281,1,2.3,1,0,0,28,0.3,148,1,6,1285,1617,1129,12,1,6,0,1,0,1
640,0,0.6,0,0,0,20,0.1,163,4,15,710,1179,2844,7,5,18,1,1,0,2
890,1,2.2,1,4,0,44,0.5,198,8,13,1074,1873,751,7,3,3,0,0,0,0
909,1,0.5,1,9,0,30,0.4,97,3,10,290,773,594,12,0,4,1,1,1,0
820,0,0.5,1,2,0,58,0.3,160,4,4,468,694,1284,17,7,17,0,0,1,0
1715,1,0.5,1,1,1,18,0.1,96,6,3,674,1375,2598,17,2,3,1,0,0,3
834,0,0.5,0,2,1,27,0.2,123,1,16,1421,1463,1591,11,9,20,1,1,0,1
1889,0,2.8,0,5,1,31,1.0,132,1,10,170,1106,3672,5,1,3,1,1,1,3
1546,1,0.5,1,3,1,6,0.2,101,1,4,91,1317,3521,15,11,9,1,0,0,3
936,0,1.0,0,1,0,18,0.2,153,3,18,1330,1686,2391,12,6,3,1,1,1,2
1142,1,1.1,0,0,1,6,0.5,198,4,0,739,1766,1273,19,0,6,1,0,0,1
802,1,2.4,1,1,0,45,0.8,157,3,9,1299,1633,3713,8,3,8,0,0,0,3
1077,0,2.5,1,0,1,45,1.0,174,3,4,897,1304,1965,6,2,6,1,1,0,1
908,0,2.1,0,1,0,44,0.6,95,5,2,154,941,3518,16,12,7,1,1,1,3
675,0,2.4,0,1,0,42,0.6,187,7,2,482,874,2953,9,5,13,1,1,0,2
1220,1,2.8,0,1,0,54,0.7,109,7,20,383,1249,1037,6,4,15,1,0,0,0
742,1,2.3,0,0,0,21,0.7,104,8,1,875,925,331,11,8,7,1,0,0,0
1023,1,2.3,1,5,1,30,0.2,80,8,7,5,1744,2086,10,0,19,1,1,1,1
1136,0,0.5,0,0,1,9,0.9,150,6,2,1307,1767,2110,9,5,16,1,0,1,2
1763,0,0.5,1,12,0,10,0.2,184,3,19,238,1893,792,17,12,13,1,0,1,0
1137,0,2.2,0,6,1,3,0.9,173,5,7,1250,1285,316,15,14,17,1,0,0,0
1784,0,1.6,0,4,0,41,0.4,164,6,20,610,1437,2313,14,1,11,0,1,0,2
1589,1,0.6,1,0,1,58,0.9,85,7,7,319,1206,3464,19,10,6,1,1,1,3
1606,1,0.5,1,0,1,33,0.9,200,5,0,157,770,3437,11,1,2,1,0,0,3
921,1,2.2,1,12,1,10,0.1,170,7,18,1272,1469,3153,8,2,11,1,1,0,3
1288,0,2.8,1,15,0,50,0.1,121,2,20,1177,1809,3129,17,6,2,0,0,0,3
1569,0,0.8,1,8,0,59,0.9,111,3,16,1261,1383,3672,15,2,15,1,0,1,3
688,0,2.5,1,0,0,57,0.8,131,7,3,426,1964,3745,17,1,4,0,1,0,3
1015,1,0.8,0,5,0,12,0.5,102,3,14,335,679,2293,5,1,2,0,1,0,1
1004,0,1.6,1,0,1,30,1.0,160,8,1,62,581,1012,7,4,13,1,1,1,0
1359,0,0.6,0,4,0,59,0.3,86,2,6,1692,1902,3142,19,3,17,0,1,1,3
623,1,0.8,0,6,1,26,0.3,197,7,12,484,1238,1769,10,1,16,1,0,0,1
1936,0,2.1,1,10,1,46,0.6,104,3,20,667,1036,2552,14,7,13,1,0,0,2
1826,1,0.5,1,5,1,49,0.6,172,8,6,973,1633,1612,17,9,17,1,1,0,2
1108,1,2.9,0,10,0,52,0.1,183,2,12,130,1706,3264,16,1,13,0,1,1,3
1762,0,0.6,0,3,1,26,0.1,83,6,14,525,704,2661,9,7,4,1,1,0,2
1702,0,1.0,0,7,0,36,0.1,177,5,9,1240,1931,1430,8,6,10,0,0,0,2
